State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Density,Pop,LandArea,"Total ""Two Dose Regmine"" Moderna","Total ""Two Dose Regmine"" Pfizer"
Alabama,"6,195","62,730","5,069","2,009",135,"9,381",97.427,4934190,50645,"273,100","227,175"
Alaska,193,"4,721",270,109,0,363,1.2694,724357,570641,"84,700","62,400"
Arizona,"8,498","77,079","8,720","4,955",147,"12,409",66.2016,7520100,113594,"387,100","323,700"
Arkansas,"3,728","37,869","3,769","1,662",101,"5,931",58.3059,3033950,52035,"165,800","141,375"
California,"27,622","315,502","33,784","15,695",813,"46,518",254.2929,39613500,155779,"2,178,600","1,806,675"
Colorado,"4,708","47,856","4,401","2,324",139,"6,919",56.8653,5893630,103642,"309,700","259,350"
Connecticut,"5,337","34,586","2,731","1,271",92,"6,886",733.7505,3552820,4842,"205,200","173,550"
Delaware,801,"10,475",711,317,21,"1,216",508.1242,990334,1949,"54,300","47,775"
Florida,"21,150","246,035","25,142","12,070",484,"34,673",409.2233,21944600,53625,"1,191,800","989,625"
Georgia,"9,440","100,303","9,036","4,642",198,"14,027",188.3053,10830000,57513,"564,900","469,950"
Hawaii,352,"12,220",822,170,26,"1,030",218.9678,1406430,6423,"81,200","70,200"
Idaho,"1,389","16,280","1,171",580,34,"2,011",22.5079,1860120,82643,"90,900","77,025"
Illinois,"15,439","130,138","13,992","7,480",223,"22,169",226.3964,12569300,55519,"565,500","471,900"
Indiana,"8,522","75,703","8,173","3,920",176,"12,945",189.9643,6805660,35826,"367,200","307,125"
Iowa,"4,557","35,364","3,283","1,532",96,"6,402",56.7157,3167970,55857,"174,300","147,225"
Kansas,"3,222","31,204","2,830","1,369",122,"4,802",35.6807,2917220,81759,"159,100","136,500"
Kentucky,"3,670","53,854","5,451","1,755",144,"7,506",113.4759,4480710,39486,"248,600","210,600"
Louisiana,"6,440","54,657","5,297","3,204",94,"8,620",107.0966,4627000,43204,"257,800","218,400"
Maine,484,"16,111","1,060",113,37,"1,468",43.9166,1354520,30843,"78,500","67,275"
Maryland,"6,415","60,389","5,784","2,451",149,"9,881",624.8522,6065440,9707,"337,700","281,775"
Massachusetts,"10,006","70,211","7,581","3,729",213,"14,062",886.1846,6912240,7800,"395,100","330,525"
Michigan,"11,459","114,938","11,091","5,617",284,"17,204",176.7352,9992430,56539,"562,500","468,000"
Minnesota,"5,661","52,614","4,532","1,926",151,"8,415",71.6641,5706400,79627,"307,900","257,400"
Mississippi,"4,878","39,479","5,014","2,589",71,"7,366",63.2187,2966410,46923,"164,800","137,475"
Missouri,"7,259","75,134","6,456","3,060",214,"10,865",89.7419,6169040,68742,"341,100","285,675"
Montana,"1,102","11,764",993,525,37,"1,607",7.4547,1085000,145546,"59,600","52,650"
Nebraska,"2,069","19,623","1,882",827,52,"3,176",25.4087,1952000,76824,"105,100","89,700"
Nevada,"3,155","31,184","4,080","2,457",57,"4,835",29.0195,3185790,109781,"163,100","137,475"
New Hampshire,841,"13,915",834,202,36,"1,507",153.2671,1372200,8953,"78,600","67,275"
New Jersey,"17,845","96,766","13,224","8,718",155,"22,491",1206.7609,8874520,7354,"500,700","416,325"
New Mexico,"2,287","21,669","2,103","1,081",60,"3,368",17.354,2105000,121298,"117,300","99,450"
New York,"16,348","122,469","15,263","7,370",278,"24,497",409.5404,19300000,47126,"637,500","531,375"
North Carolina,"3,662","77,980","5,735","1,561",280,"8,113",220.1037,10701000,48618,"569,800","474,825"
North Dakota,"1,429","8,729","1,235",720,31,"1,974",11.1596,770026,69001,"43,000","37,050"
Ohio,"11,689","138,884","11,102","5,169",317,"17,938",286.6939,11714600,40861,"653,800","545,025"
Oklahoma,"3,953","43,920","4,538","1,530",142,"7,092",58.1739,3990440,68595,"214,700","181,350"
Oregon,"1,377","39,682","2,006",463,93,"3,012",44.6873,4289440,95988,"233,900","195,975"
Pennsylvania,"16,831","156,346","13,192","6,512",333,"23,833",286.1699,12804100,44743,"644,000","536,250"
Rhode Island,"1,644","11,626","1,167",678,32,"2,165",1026.6054,1061510,1034,"61,700","52,650"
South Carolina,"4,838","57,741","4,946","2,146",148,"7,781",175.5707,5277830,30061,"280,100","234,975"
South Dakota,"1,469","9,825","1,137",610,34,"2,028",11.8265,896581,75811,"47,500","43,875"
Tennessee,"7,377","88,873","9,007","3,741",240,"12,875",168.4069,6944260,41235,"373,300","312,000"
Texas,"29,886","249,109","29,453","15,969",564,"43,910",113.808,29730300,261232,"1,491,900","1,238,250"
Utah,"1,478","22,350","1,626",626,54,"2,532",40.2917,3310770,82170,"155,200","129,675"
Vermont,115,"6,069",282,25,18,390,67.6197,623251,9217,"37,200","35,100"
Virginia,"5,914","80,256","5,338","2,214",153,"9,183",217.8774,8603980,39490,"474,300","394,875"
Washington,"3,455","63,569","4,970","1,849",160,"6,731",117.3248,7796940,66456,"415,000","360,750"
West Virginia,"1,084","21,787","1,825",474,68,"2,503",73.5444,1767860,24038,"105,800","89,700"
Wisconsin,"5,976","63,084","4,353","1,885",168,"8,609",108.0633,5852490,54158,"327,200","273,975"
Wyoming,409,"5,523",451,176,10,694,5.9847,581075,97093,"32,700","29,250"
