submission_date,state,tot_cases
12/8/2020,New Mexico,109947
1/1/2021,Florida,1300528
4/30/2020,Iowa,7145
6/25/2020,Nebraska,18346
2/24/2020,California,10
11/14/2020,Virginia,201961
12/2/2020,New York,346492
1/23/2020,Wyoming,0
5/5/2020,Georgia,28196
11/15/2020,Washington,130040
1/29/2020,Massachusetts,0
8/14/2020,Mississippi,70930
5/16/2020,,0
3/13/2020,Mississippi,1
12/10/2020,Wyoming,38223
7/29/2020,Nevada,46021
1/27/2021,,592471
1/18/2021,Illinois,1072214
12/11/2020,Maryland,232009
8/6/2020,Mississippi,64400
11/12/2020,Georgia,416217
5/28/2020,Illinois,115833
11/21/2020,Iowa,207675
12/18/2020,Iowa,264758
5/21/2020,Colorado,23121
9/19/2020,Indiana,110759
11/9/2020,Texas,1038964
5/22/2020,Oregon,3864
2/8/2020,Oregon,0
1/28/2020,South Carolina,0
12/19/2020,Texas,1573888
9/13/2020,Mississippi,90018
9/22/2020,,42660
4/21/2020,Alabama,5668
9/23/2020,Nebraska,42278
10/6/2020,Idaho,45082
8/20/2020,Louisiana,140821
5/27/2020,Wisconsin,16462
3/17/2020,New Mexico,23
3/11/2020,New York,164
12/29/2020,Texas,1715978
11/17/2020,Oklahoma,169762
1/12/2021,Iowa,298406
3/9/2020,,17
1/11/2021,North Dakota,94968
12/24/2020,North Dakota,91222
4/3/2020,North Dakota,173
10/8/2020,Indiana,129677
1/5/2021,,462668
12/23/2020,Ohio,644822
10/22/2020,West Virginia,21057
1/27/2021,Alabama,449086
3/30/2020,North Dakota,109
2/15/2020,Indiana,0
1/23/2021,Alabama,439442
2/9/2020,West Virginia,0
1/23/2020,Florida,0
3/13/2020,Idaho,0
12/9/2020,Texas,1418252
2/24/2020,Maryland,0
11/6/2020,New Mexico,52394
7/16/2020,West Virginia,4657
1/2/2021,Arkansas,231442
6/9/2020,,0
9/23/2020,Indiana,113337
3/20/2020,,0
8/11/2020,Ohio,102826
4/14/2020,Maryland,10032
2/12/2020,Oregon,0
1/20/2021,Maryland,334519
4/9/2020,Iowa,1270
6/13/2020,Pennsylvania,78462
1/16/2021,Ohio,821507
1/13/2021,Virginia,417839
7/6/2020,Alabama,44909
2/25/2020,Minnesota,0
1/11/2021,West Virginia,102282
4/13/2020,Oklahoma,2069
4/4/2020,,452
8/28/2020,,0
3/25/2020,Ohio,704
10/11/2020,Texas,792478
2/1/2020,Wisconsin,0
12/19/2020,Massachusetts,316824
4/20/2020,Florida,26329
2/10/2020,Oregon,0
7/31/2020,Ohio,91159
1/6/2021,Tennessee,625237
8/1/2020,Arizona,177022
10/6/2020,Wyoming,6770
1/31/2020,Georgia,0
1/26/2020,,0
6/22/2020,Texas,114881
5/1/2020,Ohio,18743
1/23/2020,Mississippi,0
7/26/2020,Nevada,43067
12/13/2020,Illinois,848904
2/23/2020,New York,0
9/16/2020,Florida,663234
1/20/2021,Arizona,690544
11/23/2020,Massachusetts,211731
5/16/2020,Wisconsin,12187
12/7/2020,Illinois,796264
9/21/2020,North Dakota,18508
8/19/2020,Colorado,53901
4/24/2020,Florida,29707
6/16/2020,Connecticut,45349
7/3/2020,Indiana,46915
5/8/2020,Tennessee,14512
12/17/2020,Mississippi,190411
8/9/2020,Georgia,221951
11/3/2020,Pennsylvania,214871
7/21/2020,Idaho,15822
12/4/2020,Alabama,264199
11/7/2020,,1
7/21/2020,Oregon,15139
6/26/2020,,215891
5/23/2020,Idaho,2626
11/20/2020,Louisiana,216709
11/17/2020,Michigan,296840
11/27/2020,Ohio,399808
12/15/2020,Alabama,301533
9/3/2020,Minnesota,78966
10/22/2020,Oregon,40810
12/10/2020,Georgia,525402
9/21/2020,Pennsylvania,150812
10/7/2020,Colorado,74922
1/2/2021,,3
3/8/2020,,0
10/9/2020,Virginia,157905
1/8/2021,Pennsylvania,703265
3/6/2020,Georgia,8
2/29/2020,California,12
8/14/2020,Arkansas,52392
4/14/2020,Wyoming,494
7/16/2020,Arizona,134613
6/22/2020,Illinois,138224
11/20/2020,North Dakota,71540
5/30/2020,Idaho,2839
8/3/2020,,0
11/10/2020,Connecticut,82987
4/16/2020,Florida,22674
6/23/2020,,0
2/14/2020,Arizona,1
5/8/2020,,0
6/20/2020,Connecticut,45715
12/1/2020,Minnesota,322312
5/29/2020,Connecticut,41762
1/13/2021,Iowa,300304
10/3/2020,Florida,705938
8/28/2020,,32550
5/26/2020,Idaho,2699
1/22/2020,Alabama,0
3/29/2020,California,5739
10/22/2020,New York,233558
10/14/2020,Indiana,139269
7/1/2020,Washington,33435
10/1/2020,Iowa,90009
12/22/2020,Kentucky,247344
5/4/2020,Pennsylvania,50092
11/5/2020,,271053
10/7/2020,Arizona,222538
7/25/2020,California,445400
10/24/2020,Pennsylvania,192622
11/28/2020,Texas,1259657
6/13/2020,Nebraska,16633
2/18/2020,California,8
9/24/2020,Virginia,144433
6/16/2020,Michigan,66269
3/15/2020,Iowa,22
8/7/2020,Massachusetts,120291
7/20/2020,Arizona,145183
10/29/2020,Colorado,102014
7/20/2020,South Carolina,71445
10/5/2020,,248233
4/17/2020,,0
1/13/2021,Texas,2022635
4/2/2020,Arizona,1598
7/30/2020,Kentucky,29386
4/24/2020,Pennsylvania,38652
3/14/2020,Pennsylvania,47
1/3/2021,Mississippi,223677
4/11/2020,Kentucky,1840
7/2/2020,Nevada,19964
7/11/2020,Tennessee,61006
1/19/2021,,548160
3/11/2020,Wisconsin,5
2/13/2020,Indiana,0
10/12/2020,Wisconsin,160331
12/11/2020,New York,406146
5/26/2020,Illinois,113195
3/20/2020,Minnesota,115
8/21/2020,Indiana,84317
11/24/2020,South Carolina,209230
1/26/2021,Florida,1637296
9/13/2020,Wyoming,4346
3/1/2020,Michigan,0
7/2/2020,New York,179052
6/6/2020,Wisconsin,20571
5/9/2020,Ohio,23697
2/17/2020,Maryland,0
4/11/2020,Texas,12561
11/24/2020,,4
7/5/2020,Maryland,69904
6/13/2020,,206322
2/8/2020,Massachusetts,1
2/8/2020,Illinois,2
4/22/2020,California,35396
4/21/2020,Connecticut,20360
9/14/2020,Oklahoma,77208
3/5/2020,New Mexico,0
4/28/2020,Massachusetts,58302
1/18/2021,Nebraska,182418
5/17/2020,Mississippi,11432
1/12/2021,Oregon,127780
1/21/2021,Tennessee,697783
12/14/2020,Virginia,288309
12/3/2020,California,1264539
10/13/2020,New York,225406
1/16/2021,,4
8/11/2020,Washington,64151
7/31/2020,New York,189866
6/23/2020,Alabama,31234
1/5/2021,South Carolina,328073
4/16/2020,Tennessee,6262
9/11/2020,Pennsylvania,142885
10/29/2020,Wisconsin,226705
11/12/2020,,41119
10/28/2020,Massachusetts,160394
6/7/2020,South Carolina,14286
1/11/2021,,84427
2/7/2020,Kentucky,0
6/27/2020,Maryland,66777
4/5/2020,Nebraska,367
3/9/2020,Minnesota,2
12/22/2020,South Carolina,278055
5/19/2020,North Dakota,1994
8/11/2020,Michigan,98213
12/23/2020,West Virginia,75936
5/21/2020,Iowa,16170
6/5/2020,Georgia,49543
4/20/2020,North Dakota,627
3/25/2020,Virginia,460
7/31/2020,Arizona,174010
9/23/2020,Illinois,281312
4/4/2020,Georgia,6353
5/26/2020,Arizona,16783
4/24/2020,Indiana,13680
4/15/2020,Wyoming,393
6/13/2020,Maryland,61701
11/11/2020,Michigan,251872
6/3/2020,Tennessee,24990
3/1/2020,Minnesota,0
3/1/2020,Illinois,3
7/11/2020,Kentucky,19121
8/6/2020,Indiana,71015
10/27/2020,Georgia,379592
3/16/2020,Pennsylvania,76
4/16/2020,Arizona,4234
5/16/2020,Idaho,2419
10/8/2020,California,834800
2/8/2020,Minnesota,0
7/13/2020,Washington,41757
8/18/2020,Connecticut,51255
8/15/2020,Connecticut,50897
5/25/2020,Texas,55971
8/26/2020,,0
6/30/2020,Ohio,51789
12/24/2020,Oklahoma,276095
12/27/2020,Oregon,109725
1/13/2021,Illinois,1046030
10/4/2020,Nevada,82204
9/16/2020,Ohio,140518
5/30/2020,Ohio,35034
12/20/2020,Pennsylvania,555844
5/19/2020,Indiana,28705
5/26/2020,Indiana,32078
6/1/2020,Pennsylvania,72894
4/3/2020,South Carolina,1700
4/10/2020,Illinois,17887
12/7/2020,Wisconsin,443389
12/16/2020,Massachusetts,302212
7/13/2020,,221089
12/10/2020,New Mexico,114731
7/11/2020,Idaho,10505
11/1/2020,Wyoming,13723
4/11/2020,Michigan,23853
1/2/2021,Maryland,285319
5/11/2020,New York,151698
2/16/2020,,0
1/11/2021,Pennsylvania,726154
9/22/2020,Nebraska,41785
10/31/2020,Arizona,245946
6/29/2020,Wisconsin,31033
10/20/2020,Alabama,174528
6/16/2020,Virginia,55775
9/20/2020,Alabama,144962
6/9/2020,Iowa,22237
1/6/2021,South Carolina,333235
7/18/2020,Tennessee,76336
2/5/2020,Georgia,0
8/25/2020,,0
2/15/2020,Wyoming,0
5/1/2020,Maryland,23472
1/4/2021,Arkansas,234781
4/15/2020,Maryland,10784
8/13/2020,Idaho,26631
4/8/2020,California,16957
10/2/2020,Ohio,156809
8/15/2020,Colorado,52838
12/6/2020,Mississippi,166194
5/6/2020,Ohio,21576
3/9/2020,Arizona,6
5/18/2020,Arkansas,4813
6/5/2020,South Carolina,13453
7/12/2020,Mississippi,36680
3/29/2020,Tennessee,1537
1/12/2021,Oklahoma,346621
10/29/2020,South Carolina,174591
3/29/2020,Georgia,2835
2/27/2020,Pennsylvania,0
4/16/2020,Nebraska,1066
11/7/2020,Nevada,108746
1/21/2021,Arkansas,279220
9/23/2020,Kentucky,63517
6/7/2020,Ohio,38476
11/18/2020,South Carolina,199447
6/15/2020,,5951
5/30/2020,,3718
6/25/2020,,6922
5/29/2020,Texas,61006
6/21/2020,Arkansas,15561
1/8/2021,West Virginia,97898
5/23/2020,West Virginia,1729
1/21/2021,Minnesota,450762
3/12/2020,West Virginia,0
11/28/2020,Iowa,226258
8/23/2020,Minnesota,70298
9/5/2020,,236363
12/20/2020,Arizona,453597
6/19/2020,Connecticut,45557
4/18/2020,Illinois,29160
8/22/2020,New York,197324
10/28/2020,,263794
6/16/2020,Nebraska,17031
12/15/2020,Oklahoma,252397
12/28/2020,Wyoming,43704
12/19/2020,Louisiana,282434
5/13/2020,Pennsylvania,58698
5/12/2020,Washington,17330
12/14/2020,Minnesota,381841
8/3/2020,Arizona,179497
3/2/2020,South Carolina,0
5/7/2020,Oregon,2989
11/27/2020,Michigan,369801
2/25/2020,,0
4/5/2020,Connecticut,5675
1/17/2021,Arizona,673882
4/20/2020,New York,110706
4/5/2020,Washington,6973
6/2/2020,Louisiana,40857
12/21/2020,Alabama,324832
7/19/2020,Idaho,14873
10/15/2020,Michigan,156913
8/26/2020,Colorado,55994
12/20/2020,Connecticut,162782
2/2/2020,Indiana,0
3/7/2020,Arkansas,0
2/8/2020,,0
5/6/2020,Alabama,8691
12/24/2020,Illinois,925107
7/3/2020,California,248235
7/10/2020,Minnesota,41571
8/25/2020,West Virginia,9395
12/23/2020,Mississippi,202651
8/19/2020,,232371
8/30/2020,West Virginia,10110
4/29/2020,Colorado,14675
6/11/2020,Kentucky,11945
3/12/2020,Oklahoma,3
1/3/2021,Nebraska,169000
10/15/2020,Indiana,141212
2/19/2020,,0
4/1/2020,Texas,3997
7/4/2020,Oklahoma,15645
11/5/2020,Mississippi,124854
4/5/2020,Louisiana,13010
3/10/2020,Pennsylvania,12
5/15/2020,California,74936
2/24/2020,Nevada,0
12/1/2020,Virginia,242481
3/30/2020,,0
6/29/2020,Colorado,32511
9/12/2020,Idaho,35167
3/25/2020,Nebraska,64
9/17/2020,West Virginia,13430
1/4/2021,Louisiana,322181
2/5/2020,Oklahoma,0
9/28/2020,Wisconsin,124217
1/13/2021,Ohio,799639
9/20/2020,,0
5/15/2020,Kentucky,7444
10/13/2020,Illinois,327781
9/30/2020,,0
3/4/2020,,0
5/12/2020,Colorado,20091
11/29/2020,Colorado,228772
4/29/2020,South Carolina,5881
11/20/2020,Kentucky,152206
1/26/2020,Mississippi,0
9/23/2020,Maryland,121800
8/5/2020,Kentucky,32741
12/1/2020,Massachusetts,231070
5/31/2020,Texas,64287
4/13/2020,Arizona,3702
1/15/2021,Wyoming,48909
3/27/2020,Arkansas,386
2/21/2020,California,10
1/28/2020,Wyoming,0
1/28/2020,North Dakota,0
3/11/2020,Washington,366
3/8/2020,Virginia,2
8/3/2020,,19324
9/18/2020,California,769831
1/17/2021,Florida,1542567
12/9/2020,Ohio,520112
4/22/2020,Minnesota,2721
11/18/2020,Virginia,210788
1/12/2021,Arizona,636100
4/29/2020,Michigan,40399
8/26/2020,Wyoming,3684
11/10/2020,Texas,1052159
5/25/2020,,0
5/29/2020,Idaho,2803
11/26/2020,Wyoming,30761
7/16/2020,Wyoming,2026
2/10/2020,Virginia,0
11/6/2020,Colorado,124469
7/15/2020,Minnesota,44347
10/15/2020,Mississippi,109255
4/30/2020,Arkansas,3255
3/8/2020,Colorado,8
5/16/2020,,0
1/27/2021,,92541
6/29/2020,Maryland,67559
12/28/2020,,423772
7/20/2020,Georgia,147804
12/1/2020,Colorado,237310
10/28/2020,Minnesota,139444
8/14/2020,,0
1/11/2021,Idaho,150239
2/11/2020,Ohio,0
2/14/2020,Colorado,0
1/23/2020,Minnesota,0
12/10/2020,Nebraska,145774
10/25/2020,Pennsylvania,194288
9/12/2020,Maryland,116110
5/13/2020,North Dakota,1647
3/18/2020,New Mexico,28
2/10/2020,Nebraska,0
12/18/2020,,3
5/6/2020,Arkansas,3611
1/14/2021,Indiana,578494
6/15/2020,Arizona,36705
8/5/2020,New Mexico,21566
2/12/2020,Oklahoma,0
12/6/2020,Massachusetts,257455
3/18/2020,Louisiana,261
10/5/2020,Illinois,306133
7/6/2020,New Mexico,13507
8/12/2020,California,586056
2/3/2020,Alabama,0
1/14/2021,Maryland,320739
3/15/2020,Minnesota,54
2/10/2020,Florida,0
11/23/2020,Louisiana,221160
6/11/2020,Georgia,54011
5/28/2020,Idaho,2769
4/30/2020,,162212
3/1/2020,Nevada,0
5/8/2020,Arkansas,3747
2/2/2020,Michigan,0
4/30/2020,Florida,33690
1/16/2021,Louisiana,364853
1/10/2021,Michigan,562553
10/10/2020,Florida,720001
7/22/2020,Arizona,150609
3/12/2020,Massachusetts,108
7/19/2020,Arizona,143624
11/28/2020,Illinois,712936
6/19/2020,Ohio,43731
12/7/2020,Arizona,365843
4/24/2020,Oregon,2177
6/27/2020,Idaho,5319
6/18/2020,Nebraska,17415
4/10/2020,Oklahoma,1794
9/14/2020,Minnesota,85351
7/12/2020,Oregon,12170
1/6/2021,Pennsylvania,683389
11/30/2020,Washington,165019
8/31/2020,Virginia,121615
7/1/2020,Minnesota,37210
12/30/2020,Mississippi,215811
7/30/2020,,0
7/26/2020,Massachusetts,115637
2/9/2020,New York,0
11/28/2020,Mississippi,151785
4/12/2020,Louisiana,20595
9/16/2020,Arizona,209907
6/29/2020,Oklahoma,12977
11/2/2020,Texas,977004
4/24/2020,Massachusetts,50969
7/23/2020,,0
12/9/2020,Michigan,448418
1/20/2021,Alabama,429655
2/4/2020,Michigan,0
12/19/2020,California,1807982
6/27/2020,,0
5/13/2020,Wisconsin,10902
4/7/2020,Tennessee,4139
9/9/2020,Pennsylvania,141290
5/12/2020,South Carolina,7927
9/21/2020,Illinois,277933
1/21/2021,Indiana,601937
11/23/2020,Ohio,363304
10/17/2020,North Dakota,31978
3/21/2020,South Carolina,173
12/21/2020,,392985
7/30/2020,Mississippi,57579
5/13/2020,New Mexico,5364
2/13/2020,Michigan,0
1/1/2021,New Mexico,144142
9/9/2020,Colorado,59920
10/16/2020,South Carolina,162253
1/23/2021,Arizona,715357
8/15/2020,Iowa,51793
10/2/2020,Texas,756004
1/13/2021,Oregon,129109
7/4/2020,California,254745
9/17/2020,,0
9/4/2020,Pennsylvania,137662
4/16/2020,California,26182
10/11/2020,Kentucky,80292
12/29/2020,North Dakota,92201
8/8/2020,,22121
8/12/2020,Pennsylvania,121130
8/9/2020,Minnesota,61516
6/18/2020,Maryland,63548
4/10/2020,Tennessee,4863
7/3/2020,Ohio,55257
1/18/2021,West Virginia,109809
2/17/2020,Florida,0
4/22/2020,Michigan,33966
5/19/2020,Nebraska,10846
7/18/2020,Mississippi,42639
6/4/2020,Colorado,27360
7/12/2020,Iowa,35171
6/20/2020,Minnesota,32920
4/23/2020,Connecticut,23100
7/31/2020,Maryland,89365
10/19/2020,Washington,98661
8/2/2020,,0
1/9/2021,Nebraska,175620
9/7/2020,,0
2/12/2020,Indiana,0
9/24/2020,Alabama,148206
11/19/2020,Georgia,437156
12/21/2020,Pennsylvania,563589
11/22/2020,Illinois,656298
7/11/2020,Alabama,51947
3/23/2020,Texas,507
7/28/2020,Kentucky,28126
1/10/2021,Maryland,309686
12/12/2020,South Carolina,248798
4/27/2020,Alabama,6539
11/15/2020,Iowa,185156
2/2/2020,,0
7/30/2020,South Carolina,87572
8/19/2020,Oklahoma,54132
10/28/2020,Louisiana,185822
8/18/2020,Nevada,62854
2/4/2020,Washington,1
7/16/2020,Alabama,61143
11/1/2020,Florida,796802
4/11/2020,Massachusetts,23918
7/8/2020,Massachusetts,110602
1/23/2021,Michigan,596746
2/21/2020,Arizona,1
6/2/2020,Ohio,36413
11/2/2020,Georgia,391785
4/20/2020,Maryland,14193
9/9/2020,Michigan,119863
8/16/2020,Oklahoma,51387
10/25/2020,Mississippi,115763
9/18/2020,Maryland,119744
2/9/2020,Virginia,0
6/10/2020,Florida,65779
11/10/2020,Idaho,75428
1/30/2020,Illinois,1
2/2/2020,,0
9/22/2020,Florida,679776
5/4/2020,Arkansas,3469
7/12/2020,,0
5/15/2020,Virginia,29683
1/26/2021,West Virginia,116978
5/18/2020,Texas,48693
1/7/2021,,3
6/15/2020,Oklahoma,8251
10/15/2020,Minnesota,117106
10/10/2020,Oklahoma,103382
3/27/2020,Connecticut,1291
11/3/2020,Alabama,195929
12/26/2020,Wyoming,43146
11/16/2020,Virginia,206763
1/23/2020,Ohio,0
3/21/2020,Wisconsin,281
2/27/2020,Arkansas,0
3/26/2020,,0
12/4/2020,South Carolina,226013
3/18/2020,Colorado,216
7/13/2020,Florida,278667
9/19/2020,Virginia,140512
2/13/2020,,0
2/11/2020,South Carolina,0
5/8/2020,Arizona,10526
1/22/2020,Maryland,0
6/10/2020,Minnesota,29316
4/13/2020,California,22348
