State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Density,Pop,LandArea,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Alabama,"6,195","62,730","5,069","2,009",135,"9,381",97.427,4934190.0,50645.0,Region 4,"40,950","40,950","29,250","29,250","38,025","38,025","29,250","29,250","29,250","29,250","30,225","30,225","30,225","30,225","227,175","227,175"
Alaska,193,"4,721",270,109,0,363,1.2694,724357.0,570641.0,Region 10,"35,100","35,100",0,0,0,0,"27,300","27,300",0,0,0,0,0,0,"62,400","62,400"
Arizona,"8,498","77,079","8,720","4,955",147,"12,409",66.2016,7520100.0,113594.0,Region 9,"58,500","58,500","41,925","41,925","53,625","53,625","41,925","41,925","41,925","41,925","42,900","42,900","42,900","42,900","323,700","323,700"
Arkansas,"3,728","37,869","3,769","1,662",101,"5,931",58.3059,3033950.0,52035.0,Region 6,"25,350","25,350","18,525","18,525","23,400","23,400","18,525","18,525","18,525","18,525","18,525","18,525","18,525","18,525","141,375","141,375"
California,"27,622","315,502","33,784","15,695",813,"46,518",254.2929,39613500.0,155779.0,Region 9,"327,600","327,600","233,025","233,025","297,375","297,375","232,050","232,050","233,025","233,025","241,800","241,800","241,800","241,800","1,806,675","1,806,675"
Colorado,"4,708","47,856","4,401","2,324",139,"6,919",56.8653,5893630.0,103642.0,Region 8,"46,800","46,800","33,150","33,150","42,900","42,900","33,150","33,150","33,150","33,150","35,100","35,100","35,100","35,100","259,350","259,350"
Connecticut,"5,337","34,586","2,731","1,271",92,"6,886",733.7505,3552820.0,4842.0,Region 1,"31,200","31,200","22,425","22,425","28,275","28,275","22,425","22,425","22,425","22,425","23,400","23,400","23,400","23,400","173,550","173,550"
Delaware,801,"10,475",711,317,21,"1,216",508.1242,990334.0,1949.0,Region 3,"8,775","8,775","5,850","5,850","7,800","7,800","5,850","5,850","5,850","5,850","6,825","6,825","6,825","6,825","47,775","47,775"
Florida,"21,150","246,035","25,142","12,070",484,"34,673",409.2233,21944600.0,53625.0,Region 4,"179,400","179,400","127,725","127,725","162,825","162,825","126,750","126,750","127,725","127,725","132,600","132,600","132,600","132,600","989,625","989,625"
Georgia,"9,440","100,303","9,036","4,642",198,"14,027",188.3053,10830000.0,57513.0,Region 4,"84,825","84,825","60,450","60,450","77,025","77,025","60,450","60,450","60,450","60,450","63,375","63,375","63,375","63,375","469,950","469,950"
Hawaii,352,"12,220",822,170,26,"1,030",218.9678,1406430.0,6423.0,Region 9,"12,675","12,675","8,775","8,775","11,700","11,700","8,775","8,775","8,775","8,775","9,750","9,750","9,750","9,750","70,200","70,200"
Idaho,"1,389","16,280","1,171",580,34,"2,011",22.5079,1860120.0,82643.0,Region 10,"13,650","13,650","9,750","9,750","12,675","12,675","9,750","9,750","9,750","9,750","10,725","10,725","10,725","10,725","77,025","77,025"
Illinois,"15,439","130,138","13,992","7,480",223,"22,169",226.3964,12569300.0,55519.0,Region 5,"85,800","85,800","60,450","60,450","78,000","78,000","60,450","60,450","60,450","60,450","63,375","63,375","63,375","63,375","471,900","471,900"
Indiana,"8,522","75,703","8,173","3,920",176,"12,945",189.9643,6805660.0,35826.0,Region 5,"55,575","55,575","39,975","39,975","50,700","50,700","39,000","39,000","39,975","39,975","40,950","40,950","40,950","40,950","307,125","307,125"
Iowa,"4,557","35,364","3,283","1,532",96,"6,402",56.7157,3167970.0,55857.0,Region 7,"26,325","26,325","19,500","19,500","24,375","24,375","18,525","18,525","19,500","19,500","19,500","19,500","19,500","19,500","147,225","147,225"
Kansas,"3,222","31,204","2,830","1,369",122,"4,802",35.6807,2917220.0,81759.0,Region 7,"24,375","24,375","17,550","17,550","22,425","22,425","17,550","17,550","17,550","17,550","18,525","18,525","18,525","18,525","136,500","136,500"
Kentucky,"3,670","53,854","5,451","1,755",144,"7,506",113.4759,4480710.0,39486.0,Region 4,"38,025","38,025","27,300","27,300","34,125","34,125","27,300","27,300","27,300","27,300","28,275","28,275","28,275","28,275","210,600","210,600"
Louisiana,"6,440","54,657","5,297","3,204",94,"8,620",107.0966,4627000.0,43204.0,Region 6,"39,000","39,000","28,275","28,275","36,075","36,075","28,275","28,275","28,275","28,275","29,250","29,250","29,250","29,250","218,400","218,400"
Maine,484,"16,111","1,060",113,37,"1,468",43.9166,1354520.0,30843.0,Region 1,"12,675","12,675","8,775","8,775","10,725","10,725","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","67,275","67,275"
Maryland,"6,415","60,389","5,784","2,451",149,"9,881",624.8522,6065440.0,9707.0,Region 3,"50,700","50,700","36,075","36,075","46,800","46,800","36,075","36,075","36,075","36,075","38,025","38,025","38,025","38,025","281,775","281,775"
