Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,All Ages,"347,131","3,329,907","331,354","161,474","8,726","524,629",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,Under 1 year,39,"18,436",193,6,21,247,
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,0-17 years,165,"32,453",536,29,175,847,
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,1-4 years,21,"3,388",120,3,59,197,
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,5-14 years,58,"5,440",153,11,74,274,
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,15-24 years,525,"34,922",710,188,80,"1,123",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,18-29 years,"1,275","61,648","1,635",532,146,"2,514",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,25-34 years,"2,278","71,710","2,577","1,012",232,"4,058",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,30-49 years,"13,770","216,539","13,180","6,377",801,"21,287",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,35-44 years,"5,991","102,128","5,872","2,718",353,"9,465",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,45-54 years,"16,282","186,691","15,505","7,950",761,"24,488",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,50-64 years,"50,742","543,690","51,769","25,566","2,066","78,712",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,55-64 years,"40,758","431,615","41,990","20,616","1,608","63,508",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,65-74 years,"73,856","661,771","74,220","37,521","1,865","112,151",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,75-84 years,"95,848","809,670","92,804","46,562","1,887","143,734",
1/21/2021,1/1/2020,1/16/2021,United States,All Sexes,85 years and over,"111,475","1,004,136","97,210","44,887","1,786","165,384",
1/21/2021,1/1/2020,1/16/2021,United States,Male,All Ages,"188,195","1,739,086","183,416","92,386","4,498","283,045",
1/21/2021,1/1/2020,1/16/2021,United States,Male,Under 1 year,27,"10,182",112,4,10,145,
1/21/2021,1/1/2020,1/16/2021,United States,Male,0-17 years,95,"19,073",291,15,96,467,
1/21/2021,1/1/2020,1/16/2021,United States,Male,1-4 years,12,"1,958",57,2,38,105,
1/21/2021,1/1/2020,1/16/2021,United States,Male,5-14 years,33,"3,247",82,8,36,143,
1/21/2021,1/1/2020,1/16/2021,United States,Male,15-24 years,318,"25,830",428,112,37,668,
1/21/2021,1/1/2020,1/16/2021,United States,Male,18-29 years,802,"45,169",982,312,74,"1,539",
1/21/2021,1/1/2020,1/16/2021,United States,Male,25-34 years,"1,454","50,619","1,560",626,114,"2,491",
1/21/2021,1/1/2020,1/16/2021,United States,Male,30-49 years,"9,215","141,677","8,157","4,270",426,"13,467",
1/21/2021,1/1/2020,1/16/2021,United States,Male,35-44 years,"4,005","67,019","3,655","1,831",184,"5,989",
