State,Average Unemployed 2019,Average Unemployed 2020,Total Average
Alabama,"61,530","127,425","94,478"
Alaska,"21,234","20,756","20,995"
Arizona,"163,303","282,643","222,973"
Arkansas,"48,186","83,039","65,613"
California,"754,716","1,728,135","1,241,426"
Colorado,"81,339","199,884","140,612"
Connecticut,"72,279","112,748","92,514"
Delaware,"19,400","27,166","23,283"
District of Columbia,"21,879","32,942","27,411"
Florida,"297,440","644,139","470,790"
Georgia,"161,706","227,680","194,693"
Hawaii,"17,666","91,238","54,452"
Idaho,"25,389","50,419","37,904"
Illinois,"236,218","466,347","351,283"
Indiana,"107,650","185,324","146,487"
Iowa,"49,338","59,886","54,612"
Kansas,"46,922","75,757","61,340"
Kentucky,"90,284","142,560","116,422"
Louisiana,"108,997","197,580","153,289"
Maine,"20,638","36,843","28,741"
Maryland,"112,013","243,371","177,692"
Massachusetts,"106,629","266,979","186,804"
Michigan,"109,994","298,625","204,310"
Minnesota,"101,893","137,339","119,616"
Mississippi,"71,184","95,126","83,155"
Missouri,"106,372","135,981","121,177"
Montana,"18,716","26,656","22,686"
Nebraska,"31,152","30,721","30,937"
Nevada,"57,125","184,522","120,824"
New Hampshire,"19,902","30,721","25,312"
New Jersey,"167,704","350,494","259,099"
New Mexico,"45,728","74,986","60,357"
New York,"371,454","835,625","603,540"
North Carolina,"186,123","306,255","246,189"
North Dakota,"9,629","18,859","14,244"
Ohio,"236,888","355,681","296,285"
Oklahoma,"61,982","115,176","88,579"
Oregon,"71,362","145,602","108,482"
Pennsylvania,"303,389","473,377","388,383"
Rhode Island,"19,330","38,578","28,954"
South Carolina,"57,279","100,544","78,912"
South Dakota,"15,772","17,023","16,398"
Tennessee,"111,811","245,083","178,447"
Texas,"495,792","968,165","731,979"
Utah,"39,623","67,129","53,376"
Vermont,"8,258","10,221","9,240"
Virginia,"118,618","220,619","169,619"
Washington,"158,813","237,785","198,299"
West Virginia,"40,725","49,156","44,941"
Wisconsin,"107,553","189,488","148,521"
Wyoming,"10,805","16,351","13,578"
